  PID TTY          TIME CMD
 3846 ?        00:00:00 evolution-calen
 3882 ?        00:00:00 gnome-settings-
 3929 ?        00:00:00 gnome-keyring-d
 4326 ?        00:00:00 panel-4-systray
 4328 ?        00:00:00 xfce4-indicator
 4329 ?        00:00:00 panel-9-actions
 4351 ?        00:00:00 indicator-sound
 4353 ?        00:00:00 indicator-appli
 4618 ?        00:00:05 /usr/bin/x-term
 4626 ?        00:00:00 gnome-pty-helpe
 4627 pts/0    00:00:00 bash
 4736 pts/0    00:00:00 zsh
 4777 ?        00:00:00 kworker/0:1
 4797 pts/0    00:00:00 sh
 4798 pts/0    00:00:00 ps
